zone,zone_lat,zone_lon,predicted_violations,covered,displaced_out,displaced_in,residual_predicted
GRID_13.06_77.76,13.055179623999999,77.764519272,0.008506632,False,0.0,0.0,0.01
GRID_12.98_77.68,12.983322804,77.67988701600001,0.014813521,False,0.0,0.0,0.01
GRID_12.99_77.53,12.9858642705736,77.52702822414396,0.0068942704,False,0.0,0.0,0.01
GRID_12.84_77.66,12.840699553333334,77.66263480666666,0.0047130547,False,0.0,0.0,0.0
GRID_13.03_77.73,13.03442435862069,77.73378337931034,0.012230885,False,0.0,0.0,0.01
GRID_13.06_77.57,13.063651941666668,77.57210118333333,0.040336374,False,0.0,0.0,0.04
GRID_12.94_77.61,12.940250714285714,77.61134672142857,0.02638942,False,0.0,0.0,0.03
GRID_12.94_77.71,12.936081300000001,77.70579434999999,0.013443015,False,0.0,0.0,0.01
GRID_12.98_77.77,12.9834622125,77.768348675,0.005821694,False,0.0,0.0,0.01
GRID_12.99_77.47,12.988482504761905,77.47298836190477,0.0054154093,False,0.0,0.0,0.01
GRID_12.95_77.56,12.947954115789473,77.56057449473684,0.008238713,False,0.0,0.0,0.01
GRID_12.95_77.5,12.948410844710398,77.49775182757743,0.015969282,False,0.0,0.0,0.02
GRID_12.95_77.49,12.947569285714286,77.48842769285714,0.0053299745,False,0.0,0.0,0.01
GRID_12.99_77.49,12.986475319354838,77.48864053548387,0.00880654,False,0.0,0.0,0.01
GRID_13.06_77.46,13.060770322857143,77.46126350571429,0.02516541,False,0.0,0.0,0.03
GRID_12.96_77.5,12.961529289999998,77.503215895,0.003746745,False,0.0,0.0,0.0
GRID_12.95_77.74,12.953994269230769,77.74444046153846,0.006085623,False,0.0,0.0,0.01
GRID_13.01_77.5,13.012190075,77.50482872500001,0.017421806,False,0.0,0.0,0.02
GRID_12.93_77.57,12.929342117647058,77.56758508235295,0.00781009,False,0.0,0.0,0.01
GRID_13.08_77.63,13.081912705555556,77.63434393888889,0.006984844,False,0.0,0.0,0.01
GRID_13.03_77.66,13.02816183685021,77.66302306450518,0.012197268,False,0.0,0.0,0.01
GRID_13.09_77.58,13.094232646153845,77.5812000076923,0.045116656,False,0.0,0.0,0.05
GRID_13.09_77.6,13.093661038461537,77.5976898076923,0.03871974,False,0.0,0.0,0.04
GRID_12.99_77.76,12.993733561904762,77.75734433809524,0.033803392,False,0.0,0.0,0.03
GRID_13.09_77.49,13.085736966666667,77.48699253809524,0.009658638,False,0.0,0.0,0.01
GRID_12.9_77.51,12.904153025,77.51204185,0.04406971,False,0.0,0.0,0.04
GRID_13.03_77.64,13.030843645454546,77.63760115000001,0.021566607,False,0.0,0.0,0.02
GRID_13.03_77.61,13.027443466666668,77.61051436666666,0.03455035,False,0.0,0.0,0.03
GRID_12.9_77.57,12.897539490123751,77.5711119340369,0.022467038,False,0.0,0.0,0.02
GRID_13.09_77.64,13.087477931578947,77.63524517894737,0.015721835,False,0.0,0.0,0.02
GRID_12.92_77.57,12.917744450072549,77.57044981876665,0.020539772,False,0.0,0.0,0.02
GRID_12.92_77.59,12.921751193333334,77.58583610000001,0.002516932,False,0.0,0.0,0.0
GRID_12.92_77.62,12.916724504,77.623502632,0.024441676,False,0.0,0.0,0.02
GRID_12.92_77.68,12.923370205882353,77.67607191764706,0.0068722796,False,0.0,0.0,0.01
GRID_12.92_77.66,12.92166226140624,77.66189590433258,0.0065421714,False,0.0,0.0,0.01
GRID_12.91_77.67,12.913819388,77.66657518400001,0.0030690099,False,0.0,0.0,0.0
GRID_12.92_77.7,12.916825486956522,77.69813424782609,0.017667796,False,0.0,0.0,0.02
GRID_13.01_77.48,13.008380247368422,77.48426412105263,0.007831402,False,0.0,0.0,0.01
GRID_12.9_77.71,12.901306787096773,77.70898097419355,0.003963661,False,0.0,0.0,0.0
GRID_12.9_77.61,12.898062058823529,77.60645880588235,0.011395911,False,0.0,0.0,0.01
GRID_12.9_77.62,12.901462135161262,77.62296443839071,0.00546058,False,0.0,0.0,0.01
GRID_13.08_77.5,13.080265966666667,77.50247728333333,0.01715767,False,0.0,0.0,0.02
GRID_13.01_77.6,13.010869284210527,77.59516337894738,0.007831402,False,0.0,0.0,0.01
GRID_13.03_77.55,13.028812605263157,77.54985778421053,0.0062020184,False,0.0,0.0,0.01
GRID_13.01_77.66,13.009927829212549,77.65953765664041,0.008606142,False,0.0,0.0,0.01
GRID_12.91_77.51,12.910702030769231,77.51349003076923,0.004529588,False,0.0,0.0,0.0
GRID_13.0_77.54,13.00049922424088,77.53638290196052,0.024503997,False,0.0,0.0,0.02
GRID_13.0_77.52,12.998770103333333,77.52398221333333,0.016227763,False,0.0,0.0,0.02
GRID_12.92_77.54,12.919249804255818,77.54210911181084,0.006800612,False,0.0,0.0,0.01
GRID_13.01_77.64,13.00944950952381,77.63830821904762,0.039714508,False,0.0,0.0,0.04
GRID_13.01_77.65,13.012424333333334,77.64761071111111,0.020725312,False,0.0,0.0,0.02
GRID_13.03_77.51,13.02768305625,77.51170503541667,0.032861967,False,0.0,0.0,0.03
GRID_12.89_77.74,12.887301800470926,77.7384566051744,0.02437093,False,0.0,0.0,0.02
GRID_13.02_77.7,13.019017966666667,77.70327020606061,0.010338309,False,0.0,0.0,0.01
GRID_13.02_77.68,13.021293980600309,77.678451684,0.015958449,False,0.0,0.0,0.02
GRID_12.89_77.67,12.889964105857048,77.66990483920546,0.023770187,False,0.0,0.0,0.02
GRID_13.02_77.6,13.02159761923077,77.59920213461538,0.008844832,False,0.0,0.0,0.01
GRID_13.19_77.7,13.194268742857144,77.69883155000001,0.026239632,False,0.0,0.0,0.03
GRID_13.2_77.68,13.19948992,77.67934608,0.018784834,False,0.0,0.0,0.02
GRID_13.19_77.69,13.194750225,77.69061565,0.017421806,False,0.0,0.0,0.02
GRID_13.24_77.71,13.244505620408162,77.71327729387755,0.023696914,False,0.0,0.0,0.02
GRID_13.1_77.61,13.104051049999999,77.61421225000001,0.0007537224,False,0.0,0.0,0.0
GRID_13.1_77.63,13.101616633333334,77.6316221,0.0013966145,False,0.0,0.0,0.0
GRID_13.23_77.69,13.2302231,77.6933171,1.7576313e-05,False,0.0,0.0,0.0
GRID_13.24_77.7,13.2421686,77.70413555,0.0014207213,False,0.0,0.0,0.0
GRID_12.88_77.56,12.878729700000001,77.55528235,7.707462e-05,False,0.0,0.0,0.0
GRID_12.88_77.59,12.875444575,77.5948095,0.0019317368,False,0.0,0.0,0.0
GRID_12.88_77.63,12.88032708066526,77.62925135537462,0.0017260637,False,0.0,0.0,0.0
GRID_13.13_77.57,13.1302696,77.5717626,7.552896e-05,False,0.0,0.0,0.0
GRID_13.16_77.64,13.1628009,77.6448425,0.008542651,False,0.0,0.0,0.01
GRID_13.17_77.73,13.174255,77.7282783,0.00041721555,False,0.0,0.0,0.0
GRID_13.18_77.7,13.1820686,77.6958299,0.0019764313,False,0.0,0.0,0.0
GRID_13.24_77.72,13.244062833333333,77.7157889,0.00056387734,False,0.0,0.0,0.0
GRID_13.25_77.71,13.245638916666667,77.71234053611111,0.0025751493,False,0.0,0.0,0.0
GRID_13.01_77.75,13.0060866625,77.7514058375,5.5122396e-06,False,0.0,0.0,0.0
GRID_13.02_77.48,13.0154999,77.4846445,0.0014207213,False,0.0,0.0,0.0
GRID_13.02_77.49,13.0152174,77.4870229,0.0010425824,False,0.0,0.0,0.0
GRID_13.02_77.51,13.0230362,77.51124490000001,0.0007537224,False,0.0,0.0,0.0
GRID_13.02_77.52,13.0233811,77.520801725,0.005476165,False,0.0,0.0,0.01
GRID_13.02_77.63,13.023204190909091,77.62982338181818,0.0061527123,False,0.0,0.0,0.01
GRID_13.02_77.67,13.019994144444444,77.67446498888889,0.00243346,False,0.0,0.0,0.0
GRID_13.02_77.69,13.023319749999999,77.691100175,0.0027070877,False,0.0,0.0,0.0
GRID_13.02_77.72,13.023857670000002,77.71662518,0.0036059956,False,0.0,0.0,0.0
GRID_13.03_77.5,13.0312747,77.50323167,0.0037758197,False,0.0,0.0,0.0
GRID_13.01_77.62,13.00688680462963,77.62131327037038,0.0046804175,False,0.0,0.0,0.0
GRID_13.01_77.67,13.011927466666668,77.66839083333333,0.0010425824,False,0.0,0.0,0.0
GRID_13.01_77.71,13.007659799999999,77.7111318,0.00352049,False,0.0,0.0,0.0
GRID_12.9_77.67,12.899723,77.6748722,0.0010425824,False,0.0,0.0,0.0
GRID_12.9_77.69,12.901421857142859,77.68854287142857,0.003415298,False,0.0,0.0,0.0
GRID_12.9_77.45,12.898018099999998,77.4529559,8.3933985e-05,False,0.0,0.0,0.0
GRID_12.9_77.47,12.9013385,77.46745385,5.6127927e-05,False,0.0,0.0,0.0
GRID_12.9_77.52,12.9026833,77.5190814,0.00041721555,False,0.0,0.0,0.0
GRID_12.9_77.53,12.9042772,77.53124349999999,0.0010465422,False,0.0,0.0,0.0
GRID_12.9_77.54,12.9017575,77.54437315,7.552896e-05,False,0.0,0.0,0.0
GRID_12.9_77.56,12.89948,77.5587867,0.00041721555,False,0.0,0.0,0.0
GRID_13.03_77.74,13.0349199,77.7360125,0.0005019253,False,0.0,0.0,0.0
GRID_13.03_77.75,13.0282733,77.7507203,0.00041721555,False,0.0,0.0,0.0
GRID_13.04_77.5,13.037112585714286,77.5043846,0.0045532743,False,0.0,0.0,0.0
GRID_12.84_77.67,12.842729,77.67452865,0.0013841854,False,0.0,0.0,0.0
GRID_12.99_77.54,12.988750175,77.54290985,0.004208754,False,0.0,0.0,0.0
GRID_12.99_77.55,12.9897697,77.5456881,6.4525784e-06,False,0.0,0.0,0.0
GRID_12.99_77.56,12.994081200000002,77.5635387,6.689239e-06,False,0.0,0.0,0.0
GRID_12.99_77.63,12.99430303573944,77.62801216353793,0.016384551,False,0.0,0.0,0.02
GRID_12.99_77.64,12.985673180000001,77.64437422,0.0014534283,False,0.0,0.0,0.0
GRID_12.99_77.67,12.992104799999998,77.66746061428572,0.0025806439,False,0.0,0.0,0.0
GRID_12.99_77.68,12.989615559999999,77.68070388,0.0014534283,False,0.0,0.0,0.0
GRID_12.98_77.66,12.981077484020997,77.65699270314805,0.0017797292,False,0.0,0.0,0.0
GRID_12.99_77.45,12.98863972,77.44879888,5.898798e-06,False,0.0,0.0,0.0
GRID_12.84_77.69,12.843188416666665,77.68740343333333,0.0032918747,False,0.0,0.0,0.0
