zone,zone_kind,bin_start,zone_lat,zone_lon,predicted_violations,risk,priority_score,congestion_index,est_capacity_reduction_pct,pcu_load,forecast_window_start
GRID_12.89_77.56,grid,2024-04-09,12.888682648899172,77.5624224860402,0.2085611,Low,1.4,0.7,0.4,0.17,2024-04-09
GRID_12.94_77.59,grid,2024-04-09,12.938547443418498,77.5871244656873,0.14015684,Low,1.4,0.5,0.3,0.13,2024-04-09
GRID_12.97_77.63,grid,2024-04-09,12.972165256982299,77.62760448142781,0.24873793,Low,1.4,1.3,0.8,0.33,2024-04-09
GRID_12.98_77.62,grid,2024-04-09,12.977170190523722,77.61923123024928,0.2553812,Low,1.4,1.2,0.7,0.31,2024-04-09
GRID_12.91_77.68,grid,2024-04-09,12.912258868073401,77.67937285818984,0.12480739,Low,1.4,0.5,0.3,0.12,2024-04-09
GRID_12.99_77.73,grid,2024-04-09,12.987503404661016,77.73387462245762,0.13146667,Low,1.4,0.3,0.2,0.08,2024-04-09
GRID_12.91_77.61,grid,2024-04-09,12.913225786175117,77.60623939124424,0.2421691,Low,1.3,0.7,0.4,0.18,2024-04-09
GRID_13.04_77.57,grid,2024-04-09,13.037821995081966,77.57151156557377,0.27831355,Low,1.3,1.0,0.6,0.26,2024-04-09
GRID_12.97_77.51,grid,2024-04-09,12.972061330357144,77.508960315625,0.24277766,Low,1.3,1.3,0.8,0.33,2024-04-09
GRID_12.93_77.62,grid,2024-04-09,12.928376018505338,77.62040047793595,0.21543916,Low,1.3,1.0,0.6,0.25,2024-04-09
GRID_12.94_77.62,grid,2024-04-09,12.938923547849463,77.61986757284946,0.12762338,Low,1.2,0.5,0.3,0.13,2024-04-09
GRID_12.95_77.59,grid,2024-04-09,12.94607781030949,77.58765630307454,0.3243166,Low,1.2,1.2,0.7,0.3,2024-04-09
GRID_12.87_77.65,grid,2024-04-09,12.870996338892036,77.65301381931575,0.1884691,Low,1.2,0.7,0.4,0.17,2024-04-09
GRID_13.0_77.58,grid,2024-04-09,12.998645675586854,77.58141189342723,0.26151425,Low,1.2,0.9,0.5,0.23,2024-04-09
GRID_13.05_77.51,grid,2024-04-09,13.047856270103093,77.507430895189,0.20907018,Low,1.2,0.8,0.5,0.2,2024-04-09
GRID_12.99_77.72,grid,2024-04-09,12.992675197916666,77.717627009375,0.32823774,Low,1.2,1.6,0.9,0.39,2024-04-09
GRID_13.12_77.63,grid,2024-04-09,13.121563367142857,77.63098209977679,0.14965066,Low,1.1,1.0,0.6,0.25,2024-04-09
GRID_12.84_77.68,grid,2024-04-09,12.839988477857695,77.67709304103802,0.05497525,Low,1.1,0.2,0.1,0.06,2024-04-09
GRID_12.99_77.74,grid,2024-04-09,12.987056746258503,77.73607077142857,0.21391644,Low,1.1,0.5,0.3,0.13,2024-04-09
GRID_13.05_77.55,grid,2024-04-09,13.050051060434782,77.55160854826086,0.14987452,Low,1.1,0.5,0.3,0.14,2024-04-09
GRID_13.05_77.49,grid,2024-04-09,13.05135762320464,77.49084478285728,0.26990324,Low,1.1,1.2,0.7,0.31,2024-04-09
GRID_12.98_77.71,grid,2024-04-09,12.979418091237113,77.71036829329897,0.15506087,Low,1.1,0.7,0.4,0.17,2024-04-09
GRID_12.99_77.71,grid,2024-04-09,12.988756907287325,77.71002086051739,0.28015706,Low,1.1,1.6,0.9,0.39,2024-04-09
GRID_12.99_77.65,grid,2024-04-09,12.991380519209939,77.65191252355667,0.20610797,Low,1.1,1.2,0.7,0.3,2024-04-09
GRID_12.94_77.57,grid,2024-04-09,12.941649174072719,77.56710402737954,0.07698412,Low,1.1,0.3,0.2,0.08,2024-04-09
GRID_12.94_77.75,grid,2024-04-09,12.940802205919958,77.74739034078512,0.24515112,Low,1.1,1.4,0.9,0.36,2024-04-09
GRID_13.09_77.59,grid,2024-04-09,13.093649192857143,77.59421949183672,0.04841109,Low,1.0,0.1,0.1,0.03,2024-04-09
GRID_12.96_77.73,grid,2024-04-09,12.960160175014156,77.73214764999824,0.17821398,Low,1.0,1.0,0.6,0.25,2024-04-09
GRID_12.91_77.55,grid,2024-04-09,12.908912275454455,77.54867479573748,0.1240724,Low,1.0,1.0,0.6,0.24,2024-04-09
GRID_12.99_77.7,grid,2024-04-09,12.99441017505851,77.69976924320547,0.2509687,Low,1.0,1.3,0.8,0.32,2024-04-09
GRID_13.03_77.56,grid,2024-04-09,13.032814341089116,77.55900086553227,0.031667355,Low,1.0,0.1,0.1,0.03,2024-04-09
GRID_12.92_77.65,grid,2024-04-09,12.91994160730897,77.65046660897009,0.051924556,Low,1.0,0.2,0.1,0.05,2024-04-09
GRID_12.93_77.54,grid,2024-04-09,12.934846881034483,77.5365279362069,0.10327652,Low,0.9,0.3,0.2,0.07,2024-04-09
GRID_12.96_77.71,grid,2024-04-09,12.957006148837207,77.71167998430232,0.17268635,Low,0.9,0.7,0.4,0.18,2024-04-09
